"GeneName"	"NAc1"	"NAc2"	"NAc3"	"NAc4"	"DG1"	"DG2"	"DG3"	"DG4"
"Large2"	1.20574110292905	1.13468719722472	1.70801076644984	1.31394348824055	-0.741729585836379	-0.743052343729827	-0.812307288273057	-0.742712170908083
"Galnt13"	1.08360176631453	0.993064915498205	1.70915520109478	1.0956810348296	-0.701470030747936	-0.684211347679477	-0.585879385464647	-0.766239734808818
"P2ry1"	0.563067670434548	2.01955199974821	1.82965539754302	0.444040744667849	-0.686300496727427	-0.68762766901036	-0.791186202655531	-0.657407221704683
"Glp1r"	0.895825654613134	0.982720862993896	2.41741615364581	0.771997418658818	-0.695245256842857	-0.572590506168084	-0.695313266049441	-0.695627956732687
"Rxrg"	1.24911825212901	0.944362499685658	1.60850416042803	1.23446874606435	-1.08902757407793	-0.764857582518812	0.74396364005366	-1.26071073040435
"Prima1"	1.24287658748364	1.2149728633984	1.19081480579807	1.29668661967651	-0.694682628829029	-0.791796351572514	-0.725313453282199	-0.71766304747963
"Asic4"	1.35146474566242	1.15513758156763	1.40577134300888	1.43735561495487	-0.575422188145274	-0.53626020404439	-0.834687293957816	-0.516676401347247
"Kcnj2"	0.860531754034619	1.2522705434212	1.85638656398453	0.849586177942388	-0.693771992200779	-0.687770726181603	-1.11440158638495	-0.532911669987546
"Dlx5"	0.93723011283584	2.27238710478816	0.773417523976694	0.897726478118164	-0.779719011633287	-0.765367716833127	-0.864992690501171	-0.765076881931097
"Pld5"	1.25616428356812	1.44507212561822	1.17247812288389	1.22752999923438	-0.186548253929588	-0.138801612803143	-0.798359961475859	-0.0616465009720358
"Lrrc10b"	0.781013595079559	2.54832635309901	0.494565669151203	0.836956775489353	-1.14146620849015	-1.19298461913852	-0.974947279843733	-1.14519521111515
"Rab32"	1.41022141074122	0.774004724169052	0.981210672508098	1.84374851547659	-0.909541265630033	-0.910992386169879	-1.00903512453093	-0.861031365173083
"Drd2"	1.08025793547466	2.16362999728295	1.24756707949431	1.09307605401273	-0.809736200620818	-0.803048484161778	-0.726137596709474	-0.833138225858625
"Gpr88"	0.851303303144073	2.62260678042647	0.842264677579669	0.849377929802113	-0.723861519306544	-0.745825955862322	-0.661384857416122	-0.770172333351478
"Tulp2"	0.817769957976578	1.14597997569173	2.2740241210516	0.835774739959412	-0.75384450680543	-0.754196854185303	-0.753891019362644	-0.754106241229569
"LOC680227"	1.03653734512244	0.958711027755359	2.16122199889632	1.06578564772523	-0.484013593586598	-0.341849071457487	-1.06499266114293	-0.196100116538397
"AABR07030647.1"	0.755147041348578	2.41834938023443	1.28466954727792	0.695321482609988	-0.792849349884293	-0.793127862032848	-0.859592592761184	-0.726434820907277
"Smim35"	1.56965065569766	0.869776372983709	1.23991709000607	1.6022608569021	-0.848759143287419	-0.667205187762243	0.0681282760651441	-1.03308090455009
"AABR07021666.1"	1.10382998544247	1.8027780012952	1.06322301249483	1.26929365367557	-0.319749158620247	-0.555807497163736	-1.13677018473509	-0.0890832558593547
"Dcdc2c"	1.17969819597998	0.880132181059739	1.82549143567533	1.13080295343692	-1.04427755943984	-1.04539478158363	-0.776839035559872	-1.1119186645897
"Alpg"	1.55096011883705	1.7013206390498	0.876033668484394	1.58805194591273	-0.91660011662419	-1.14205511985306	-0.0228006318907181	-1.14157510450741
"Cacna2d2"	1.09825007546458	1.49866896815863	1.13880107676157	1.10780835655883	-0.479280610952603	-0.505722450531352	-0.60404097587731	-0.521362614413559
"Scn11a"	0.63184415180827	1.99406067170886	1.86594976253113	0.325084350208838	-0.603066525820426	-0.4636260673037	-1.16794018970855	-0.32218155824904
"Rxfp3"	1.1394179005371	0.277899634001315	2.32011086989106	1.23419669894931	0.0404799004556881	-0.0172011812029368	-0.814942173515274	0.304047969647885
"Stox1"	1.19619639299301	1.36529322660143	1.41013306743859	1.26473462415614	-0.681692400557495	-0.575418792036576	-0.537928188429262	-0.754698136911684
