"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
3,5,40,93.66,89.9,1
7,5,10,90.4233333333333,89.72,0.5
0,5,40,90.2,90.2,1
1,5,50,92.88,88.65,1
4,5,10,91.25,90.18,1
4,5,60,92.11,90.18,1
5,5,10,91.25,91.08,1
6,5,50,94.73,90.42,1
6,5,10,92.23,90.42,1
4,5,30,90.84,90.18,1
6,5,40,94.6,90.42,1
5,5,100,92,91.08,1
3,5,30,91.9633333333333,89.9,0.5
3,5,80,93.16,89.9,1
6,5,40,94.83,90.42,1
7,5,30,90.2666666666667,89.72,0.5
5,5,50,92.68,91.08,1
2,5,10,90.1966666666667,89.68,0.5
7,5,60,94.98,89.72,1
9,5,60,92.39,89.91,1
2,5,10,91.52,89.68,1
0,5,60,90.9033333333333,90.2,0.5
1,5,40,91.47,88.65,1
2,5,20,90.89,89.68,1
3,5,60,93.36,89.9,1
4,5,20,90.74,90.18,1
3,5,40,93.5,89.9,1
6,5,40,94.1933333333333,90.42,0.5
3,5,20,89.91,89.9,1
0,5,50,93.39,90.2,1
0,5,30,92.64,90.2,1
2,5,30,90.18,89.68,1
7,5,100,93.4,89.72,1
4,5,20,91.27,90.18,1
7,5,40,95.22,89.72,1
3,5,40,94.17,89.9,1
2,5,80,92.8,89.68,1
3,5,80,93.67,89.9,1
4,5,100,90.59,90.18,1
1,5,20,89.54,88.65,1
7,5,40,95.04,89.72,1
4,5,10,91.1233333333333,90.18,0.5
3,5,20,92.85,89.9,1
3,5,30,93.43,89.9,1
3,5,20,90.25,89.9,1
4,5,20,92.41,90.18,1
4,5,20,90.2833333333333,90.18,0.5
2,5,10,91.39,89.68,1
2,5,20,94.06,89.68,1
7,5,10,90.98,89.72,1
9,5,60,92.3,89.91,1
6,5,60,94.64,90.42,1
6,5,50,94.46,90.42,1
3,5,10,89.9,89.9,1
2,5,10,92.04,89.68,0.5
0,5,100,91.12,90.2,1
3,5,10,91.64,89.9,1
3,5,40,93.3,89.9,1
2,5,10,94.18,89.68,1
7,5,30,94.89,89.72,1
